id,URL,Title,EnTitle,JpTitle,AltTitle,JpArtistName,AltArtistName,MAL URL,AnimeTitle,AnimeEnTitle,AnimeJpTitle,Season,Pic,Relation
1,https://open.spotify.com/track/5Y78SEDLcnOkE2kMwEuuwo,Fiesta,,,,,Plus,https://myanimelist.net/anime/6702/,Fairy Tail,Fairy Tail,FAIRY TAIL（フェアリーテイル）,Fall 2009,https://cdn.myanimelist.net/images/anime/5/18179.jpg,OP6
2,https://open.spotify.com/track/75SKlkZrcOX32dseIE8l4O,Lovers,,,,セブンウップス; Sebunuppusu,Seven Oops,https://myanimelist.net/anime/1735/,Naruto: Shippuuden,Naruto: Shippuden,ナルト- 疾風伝,Winter 2007,https://cdn.myanimelist.net/images/anime/5/17407.jpg,OP9
3,https://open.spotify.com/track/5wfvUZ7JfTtNLnOsmsgehN,Youthful,,,,ナインナインレディオサービス,,https://myanimelist.net/anime/10800/,Chihayafuru,Chihayafuru,ちはやふる,Fall 2011,https://cdn.myanimelist.net/images/anime/3/35749.jpg,OP1
4,https://open.spotify.com/track/2ZCkl705ROXLgLtXXKhBp2,Wake up!,,,,トリプル・エー; Toripuru Ē,Triple A; Attack All Around,https://myanimelist.net/anime/21/,One Piece,One Piece,ONE PIECE,Fall 1999,https://cdn.myanimelist.net/images/anime/6/73245.jpg,OP17
5,https://open.spotify.com/track/72q7HvZXQVuGqm1PvwIXq9,Innocent Sorrow,,,,アビングドンボーイズスクール,,https://myanimelist.net/anime/1482/,D.Gray-man,D.Gray-man,ディー・グレイマン,Fall 2006,https://cdn.myanimelist.net/images/anime/13/75194.jpg,OP1
6,https://open.spotify.com/track/0Hrqab4eZk24PODh7YKzRH,Akane Sasu,,茜さす,,エメ; Eme,aimerrhythm,https://myanimelist.net/anime/32983/,Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,夏目友人帳 伍,Fall 2016,https://cdn.myanimelist.net/images/anime/11/81755.jpg,ED1
7,https://open.spotify.com/track/04K2brFrPGggc1EMHxOwOb,Rokutouseino Yoru,,,,エメ; Eme,aimerrhythm,https://myanimelist.net/anime/10161/,No.6,No. 6,NO.6［ナンバー・シックス］,Summer 2011,https://cdn.myanimelist.net/images/anime/1474/90768.jpg,ED1
8,https://open.spotify.com/track/4PR27vtUZsoiaUlQ6NNYyW,Brave Shine,,,,エメ; Eme,aimerrhythm,https://myanimelist.net/anime/28701/,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night [Unlimited Blade Works] Season 2,Fate/stay night [Unlimited Blade Works] 2nd シーズン,Spring 2015,https://cdn.myanimelist.net/images/anime/11/72863.jpg,OP1
9,https://open.spotify.com/track/5ue5J7CzOkmDBMPN0Zb9i7,"Dare ka, Umi wo.",,誰か、海を。,Dare ka Umi wo; Dareka Umiwo,エメ; Eme,aimerrhythm,https://myanimelist.net/anime/23283/,Zankyou no Terror,Terror in Resonance,残響のテロル,Summer 2014,https://cdn.myanimelist.net/images/anime/4/64447.jpg,ED1
10,https://open.spotify.com/track/0Qjqsp2Yfa05oQOlimaXzO,Ninelie,,,,エメ; Eme; チェリー,aimerrhythm; Cherry,https://myanimelist.net/anime/28623/,Koutetsujou no Kabaneri,Kabaneri of the Iron Fortress,甲鉄城のカバネリ,Spring 2016,https://cdn.myanimelist.net/images/anime/12/79164.jpg,ED2
11,https://open.spotify.com/track/6021Sqck0vonZQB55NLhZP,We're the Stars,,,We are the Stars; Were the Stars,愛美; 寺川 愛美,Aimi Terakawa,https://myanimelist.net/anime/6702/,Fairy Tail,Fairy Tail,FAIRY TAIL（フェアリーテイル）,Fall 2009,https://cdn.myanimelist.net/images/anime/5/18179.jpg,ED14
